order_id,date,product_id,quantity,unit_price,customer_id,region,product_name,category,supplier,customer_name,age,gender,city,total_sales,year,month,age_group
O000021,2024-10-15,P00462,1,91.34,C01982,East,Rather,Electronics,Bennett LLC,Austin Williams,47,Other,Lake Amberton,91.34,2024,10,56-65
O000022,2023-12-05,P00348,8,89.29,C01972,North,Important,Clothing,"Sanchez, Fischer and Carter",Richard Carroll,38,Other,Mccallberg,714.32,2023,12,46-55
O000023,2023-10-13,P00411,3,427.27,C01241,North,Property,Electronics,Johnson and Sons,Tricia Walsh,62,Male,Christophertown,1281.81,2023,10,66+
O000024,2023-09-20,P00027,7,130.6,C01763,North,Present,Books,"Johnson, Bailey and Smith",Rachel Branch,57,Other,Samuelstad,914.1999999999999,2023,9,66+
O000025,2025-04-10,P00234,3,149.35,C00852,South,Business,Home,Johnson and Sons,Victoria Hammond,29,Male,West Blaketown,448.04999999999995,2025,4,36-45
O000026,2024-08-17,P00069,8,428.26,C00173,East,Though,Home,Wood-Johnson,Michael Walker,40,Other,Lynnfurt,3426.08,2024,8,46-55
O000027,2025-02-20,P00316,4,137.38,C01936,South,Really,Clothing,Morgan-Richardson,Matthew Summers,18,Male,New Alexandra,549.52,2025,2,26-35
O000028,2024-07-16,P00414,4,269.19,C00525,North,Share,Electronics,Calhoun-Rivers,Michelle Dickson,64,Female,East William,1076.76,2024,7,66+
O000029,2023-11-21,P00177,7,267.13,C00660,West,Put,Toys,"Lucero, Martinez and Dalton",Ana Moon,25,Other,Brandiberg,1869.9099999999999,2023,11,36-45
O000030,2023-11-20,P00349,3,216.98,C00044,South,Smile,Electronics,Jordan-Butler,Paula Nunez,51,Other,North Paulview,650.9399999999999,2023,11,56-65
O000031,2024-06-10,P00318,7,138.21,C01698,South,Class,Toys,Elliott Ltd,Michael Galloway,66,Female,Romanfurt,967.47,2024,6,
O000032,2023-07-16,P00189,1,183.38,C00233,West,Government,Clothing,Watson-Lee,Crystal Morton,66,Male,Port Robertfort,183.38,2023,7,
O000033,2025-01-15,P00400,5,340.87,C01198,East,Forget,Electronics,Wilson-Cross,Krista Fowler,62,Male,Amandaville,1704.35,2025,1,66+
O000034,2025-03-02,P00367,8,90.45,C00221,West,Report,Toys,"Johnson, Bailey and Smith",Jerry Perry,52,Other,Jameschester,723.6,2025,3,56-65
O000035,2025-01-18,P00092,2,146.52,C00163,West,Edge,Toys,"Carpenter, Moore and Hurst",Michael Jenkins,48,Female,Petersonhaven,293.04,2025,1,56-65
O000036,2023-07-29,P00425,3,438.58,C00394,West,Somebody,Electronics,Calhoun-Rivers,Matthew Gross,20,Other,West Andre,1315.74,2023,7,26-35
O000037,2024-03-20,P00161,1,217.85,C00830,South,Fact,Electronics,Taylor LLC,Michael Robinson,51,Other,West Jacob,217.85,2024,3,56-65
O000038,2024-02-25,P00174,2,412.29,C01136,North,Little,Toys,Lawson-Hall,Jeffrey Miles,21,Female,Francisfurt,824.58,2024,2,26-35
O000039,2024-06-22,P00114,7,434.6,C00334,East,Win,Electronics,"Murphy, Watkins and Miller",Monica Morales,30,Other,New Maryhaven,3042.2000000000003,2024,6,36-45
O000040,2025-03-22,P00399,3,454.67,C00140,East,Gas,Books,Rogers-Woodward,Janet Aguirre,31,Other,Lake Robert,1364.01,2025,3,36-45
O000041,2025-04-26,P00325,2,53.3,C00060,East,Government,Beauty,Navarro Inc,Jason Lawrence,64,Male,Lake Michellefurt,106.6,2025,4,66+
O000042,2023-06-27,P00346,1,216.51,C00010,North,Senior,Toys,Smith PLC,Angela Patterson,22,Other,New Stevenshire,216.51,2023,6,26-35
O000043,2024-12-28,P00481,6,425.78,C01696,South,Out,Books,Smith Ltd,Debbie Williams,66,Other,East Michaelport,2554.68,2024,12,
O000044,2024-02-03,P00269,1,317.7,C01899,West,Blood,Books,"Carpenter, Moore and Hurst",Michele Warren,41,Male,Lake Jennifer,317.7,2024,2,46-55
O000045,2024-09-19,P00173,2,442.3,C01979,South,Face,Books,Holden LLC,Bianca Owen,25,Male,New Catherineberg,884.6,2024,9,36-45
O000046,2024-08-31,P00362,7,373.32,C01881,West,Public,Books,"Johnson, Bailey and Smith",Tanya Williams,24,Other,Fosterville,2613.24,2024,8,26-35
O000047,2023-12-01,P00316,9,130.67,C00017,East,Really,Clothing,Morgan-Richardson,Michelle Howard,31,Other,Fosterville,1176.03,2023,12,36-45
O000048,2025-02-28,P00427,7,233.79,C01922,East,Test,Home,Taylor LLC,Jeffrey Robles,53,Male,Justinborough,1636.53,2025,2,56-65
O000049,2023-11-30,P00448,3,460.65,C01170,West,Beat,Electronics,Smith PLC,Brenda Rogers,35,Female,East Coreyberg,1381.9499999999998,2023,11,46-55
O000050,2024-04-06,P00309,2,368.25,C01320,West,Movie,Books,Foster-Kelley,Christopher Lewis,68,Male,New Elizabeth,736.5,2024,4,
O000051,2024-04-19,P00398,5,414.32,C01878,East,Miss,Electronics,Leach Group,Kenneth Thomas,19,Female,Jeffreybury,2071.6,2024,4,26-35
O000052,2024-04-21,P00437,1,93.73,C01499,West,Tv,Toys,Frank Ltd,Cynthia Booker,29,Other,New Daniel,93.73,2024,4,36-45
O000053,2024-03-21,P00179,9,85.49,C01009,North,Whom,Toys,Jenkins-Carr,Jessica Simon,65,Male,Trevorton,769.41,2024,3,
O000054,2024-03-21,P00121,4,373.94,C00031,North,Field,Clothing,Rodriguez-Hoffman,Andrew Bennett,43,Female,West Jodyton,1495.76,2024,3,46-55
O000055,2024-11-07,P00435,5,497.23,C00676,West,Range,Beauty,Williams and Sons,Amy Solomon,38,Other,Brandiberg,2486.15,2024,11,46-55
O000056,2024-03-28,P00370,3,242.25,C01776,North,Join,Electronics,Brown-Davidson,Shannon Burns,31,Female,New Williamstad,726.75,2024,3,36-45
O000057,2023-11-22,P00454,3,208.47,C00394,North,Structure,Toys,"Hall, Thomas and Gibson",Matthew Gross,20,Other,West Andre,625.41,2023,11,26-35
O000058,2025-03-27,P00472,9,351.15,C01346,West,Amount,Books,Atkins-Owen,Michael Sanchez,47,Male,Lambfort,3160.35,2025,3,56-65
O000059,2025-01-07,P00230,1,420.67,C00475,South,Include,Toys,"King, Gomez and Martinez",Bethany Davidson,52,Male,Franciscoberg,420.67,2025,1,56-65
O000060,2023-07-27,P00117,2,331.37,C00618,West,Successful,Books,"Sanchez, Fischer and Carter",Wendy Rowe,18,Female,Wardton,662.74,2023,7,26-35
O000061,2025-04-07,P00479,5,316.19,C00992,East,Hit,Home,Wells-Randall,Brian Johnson,69,Male,Port Angelafurt,1580.95,2025,4,
O000062,2023-09-01,P00477,1,161.84,C00869,East,Forward,Clothing,"Klein, Robinson and Miller",Erin Chapman DDS,31,Other,Teresachester,161.84,2023,9,36-45
O000063,2025-04-18,P00183,2,458.51,C01319,East,Garden,Electronics,Brown-Perry,Amanda Abbott,29,Other,West Andre,917.02,2025,4,36-45
O000064,2024-12-22,P00470,2,73.62,C00332,North,After,Clothing,"Hall, Thomas and Gibson",Keith Beck,66,Male,Sarahton,147.24,2024,12,
O000065,2025-03-19,P00340,3,53.48,C01797,South,Your,Books,Garcia Group,Samuel Rowe,64,Other,North Ana,160.44,2025,3,66+
O000066,2025-03-23,P00345,8,70.68,C01853,South,Cause,Electronics,Robbins-Roman,Kathleen Miles,61,Male,New Jennifer,565.44,2025,3,66+
O000067,2024-07-01,P00378,3,43.97,C00072,West,Recognize,Beauty,"Reed, Reyes and Frank",Joseph Fuentes,69,Female,Hensonborough,131.91,2024,7,
O000068,2024-06-24,P00176,8,134.01,C01028,East,Recent,Beauty,"Murray, Watson and Reyes",Jeanette Graves,39,Female,New Courtneyberg,1072.08,2024,6,46-55
O000069,2025-03-29,P00088,8,453.54,C00016,South,Cut,Books,Rodriguez-Hoffman,James Williams,21,Male,Stephanieland,3628.32,2025,3,26-35
O000070,2024-07-13,P00430,2,80.63,C00401,East,Population,Beauty,Jordan-Butler,Kimberly Juarez,54,Female,Lambfort,161.26,2024,7,56-65
O000071,2024-08-27,P00063,9,24.03,C01150,South,Why,Clothing,Navarro Inc,Sarah Whitney,34,Male,North Ana,216.27,2024,8,36-45
O000072,2024-08-01,P00267,2,180.48,C00206,West,Among,Beauty,"King, Gomez and Martinez",Zachary Austin,34,Male,East Angelaburgh,360.96,2024,8,36-45
O000073,2024-03-29,P00095,7,448.58,C01348,South,Suggest,Toys,"Henderson, Boyd and Shelton",Robert Harper,29,Male,West Sarah,3140.06,2024,3,36-45
O000074,2025-01-27,P00097,9,363.52,C01046,West,Line,Books,Atkins-Owen,Jeffery Griffith,54,Other,Port Frank,3271.68,2025,1,56-65
O000075,2024-11-06,P00470,6,478.33,C00664,South,After,Clothing,"Hall, Thomas and Gibson",Marcia Olson,63,Other,Port Donna,2869.98,2024,11,66+
O000076,2025-02-21,P00361,3,48.69,C01451,North,Dog,Beauty,Kirby PLC,Lance Colon,59,Other,Fieldsbury,146.07,2025,2,66+
O000077,2023-05-23,P00055,6,455.74,C01588,North,Old,Electronics,"Murphy, Watkins and Miller",Paul Shepard,66,Female,Scottstad,2734.44,2023,5,
O000078,2024-01-10,P00351,3,435.65,C01089,East,Them,Electronics,Rodriguez-Brown,Robert Lopez,60,Male,North Chadview,1306.9499999999998,2024,1,66+
O000079,2023-09-28,P00135,1,186.31,C01473,East,Alone,Beauty,"Johnson, Bailey and Smith",Jared Jones,44,Other,East Coreyberg,186.31,2023,9,46-55
O000080,2024-03-14,P00410,4,180.61,C01322,West,Official,Clothing,"Henderson, Boyd and Shelton",Tanner Martin,21,Female,Derrickfurt,722.44,2024,3,26-35
O000081,2025-03-09,P00006,7,17.66,C00308,North,Amount,Books,Allen Ltd,Bryce Cruz,55,Female,East Brycechester,123.62,2025,3,66+
O000082,2024-11-22,P00184,7,259.36,C01502,North,Position,Toys,"King, Gomez and Martinez",James Thomas,49,Other,Sophiaside,1815.52,2024,11,56-65
O000083,2025-04-09,P00224,9,253.25,C01253,East,Prove,Electronics,Wilson-Cross,Martin Gonzales Jr.,52,Other,Justinborough,2279.25,2025,4,56-65
O000084,2024-10-27,P00048,4,342.57,C00998,South,Health,Beauty,"Chang, Mooney and Burgess",Jessica Wright,49,Female,Lake Vernon,1370.28,2024,10,56-65
O000085,2024-06-20,P00495,7,101.31,C00565,West,Push,Home,Marsh PLC,John Martinez DVM,42,Male,Josephtown,709.1700000000001,2024,6,46-55
O000086,2024-11-13,P00412,2,98.21,C00441,East,Because,Toys,"Nolan, Meyers and Johnson",David Williams,42,Male,New Kristenville,196.42,2024,11,46-55
O000087,2023-12-28,P00346,2,396.16,C00365,North,Senior,Toys,Smith PLC,Justin Miller,47,Male,Romanfurt,792.32,2023,12,56-65
O000088,2023-06-05,P00418,1,456.88,C00709,North,Resource,Electronics,Robbins-Roman,Erika Griffin,58,Male,Danahaven,456.88,2023,6,66+
O000089,2024-10-31,P00220,8,349.0,C00510,North,Response,Books,Thomas PLC,Jason Owens,68,Other,South Tracy,2792.0,2024,10,
O000090,2025-01-29,P00401,9,238.03,C00851,South,Third,Home,Short Ltd,Richard Doyle,27,Other,Robertton,2142.27,2025,1,36-45
O000091,2024-12-30,P00145,2,418.77,C00720,North,Under,Books,Watson-Lee,Jared Johnson,47,Male,Fischerview,837.54,2024,12,56-65
O000092,2024-01-15,P00336,1,309.8,C00278,North,Field,Books,"Barry, Clark and Harris",Teresa Lopez,55,Male,West Larry,309.8,2024,1,66+
O000093,2024-10-17,P00223,8,361.04,C00911,South,Capital,Books,Williams and Sons,William Rivera,32,Male,Sarahmouth,2888.32,2024,10,36-45
O000094,2024-12-07,P00419,4,242.26,C00863,East,Key,Books,Johnson Group,Matthew Rojas,28,Other,North Donna,969.04,2024,12,36-45
O000095,2025-04-19,P00444,3,179.72,C01919,East,Too,Books,"Anderson, Nguyen and Graves",Megan Rodriguez DDS,45,Male,New Kylemouth,539.16,2025,4,56-65
O000096,2023-05-18,P00070,3,353.29,C01475,West,Inside,Books,"Smith, Miller and Jones",Rachel Davis,55,Other,South Stephanieburgh,1059.8700000000001,2023,5,66+
O000097,2023-06-01,P00073,5,270.56,C00849,West,Still,Toys,Johnson and Sons,Susan Davis PhD,37,Female,Lake Kenneth,1352.8,2023,6,46-55
O000098,2023-05-19,P00145,9,336.1,C01207,West,Under,Books,Watson-Lee,Alexander Owens,57,Male,Waltersview,3024.9,2023,5,66+
O000099,2023-11-17,P00231,7,452.76,C01407,West,Benefit,Toys,Barton-Cruz,Amanda Jones,32,Male,West Raymondshire,3169.3199999999997,2023,11,36-45
O000100,2024-02-17,P00308,5,383.29,C01803,East,Two,Toys,Rodriguez-Hoffman,Regina Bowman,54,Male,New Kylemouth,1916.45,2024,2,56-65
O000101,2023-10-12,P00488,2,182.64,C00282,North,Political,Electronics,"King, Gomez and Martinez",Emily Short,40,Other,West Lauren,365.28,2023,10,46-55
O000102,2023-07-05,P00093,5,112.7,C01835,West,Suggest,Electronics,Foster-Kelley,Cynthia Rivera,33,Other,Andreaton,563.5,2023,7,36-45
O000103,2023-10-16,P00134,6,145.6,C01243,South,Culture,Clothing,"Shaw, Berry and Gregory",Kathleen Walton,23,Female,Baileyfurt,873.5999999999999,2023,10,26-35
O000104,2025-02-24,P00001,5,96.92,C00755,South,Three,Beauty,Johnson Group,Anita Watson DDS,28,Female,New Ericstad,484.6,2025,2,36-45
O000105,2023-06-10,P00212,8,396.71,C00355,East,Answer,Electronics,Petersen-Olson,Sharon Dyer,51,Female,Crystaltown,3173.68,2023,6,56-65
O000106,2023-10-23,P00024,7,450.56,C01234,East,Challenge,Beauty,Rogers-Woodward,Timothy Richardson,64,Other,Kellyport,3153.92,2023,10,66+
O000107,2024-09-22,P00159,9,419.86,C01728,East,Season,Electronics,"Williams, Gould and Lewis",Katherine Ball,27,Other,Port Frank,3778.7400000000002,2024,9,36-45
O000108,2024-08-13,P00245,8,132.08,C00504,North,Such,Clothing,Garcia Group,Shawn Mccullough,19,Other,Palmermouth,1056.64,2024,8,26-35
O000109,2024-08-06,P00111,7,406.15,C01598,East,Officer,Electronics,"Murphy, Watkins and Miller",Carmen Lopez,51,Other,East Frankland,2843.0499999999997,2024,8,56-65
O000110,2025-04-25,P00295,1,77.52,C00692,East,Enough,Clothing,Hinton LLC,Jeffrey Singh,48,Other,Lake Sarahton,77.52,2025,4,56-65
O000111,2023-09-30,P00169,2,485.67,C01248,North,Perform,Beauty,Rodriguez-Brown,Elizabeth Hayes,35,Male,West Larry,971.34,2023,9,46-55
O000112,2024-02-02,P00227,6,394.39,C01411,East,Then,Beauty,Thomas PLC,Amy Daniels,32,Male,South Richardmouth,2366.34,2024,2,36-45
O000113,2024-07-09,P00082,7,70.01,C00269,East,Either,Books,Petersen-Olson,Sarah Lopez,25,Female,Evansfort,490.07000000000005,2024,7,36-45
O000114,2024-07-03,P00128,9,155.3,C00457,East,Parent,Beauty,"Hall, Thomas and Gibson",Shane Lewis,65,Other,Lake Kenneth,1397.7,2024,7,
O000115,2023-12-11,P00400,4,68.31,C00429,East,Forget,Electronics,Wilson-Cross,Brianna Romero,60,Female,New Elizabeth,273.24,2023,12,66+
O000116,2024-03-29,P00075,9,210.86,C01185,West,Process,Clothing,Garcia Group,Rebecca Jones,25,Other,New Jennifer,1897.7400000000002,2024,3,36-45
O000117,2025-01-17,P00275,8,369.33,C00901,West,West,Toys,Jones and Sons,Jessica Zimmerman,30,Other,Wallaceview,2954.64,2025,1,36-45
O000118,2023-07-28,P00489,9,253.24,C01945,East,Reality,Electronics,Wood-Johnson,William Delacruz,58,Other,Veronicaborough,2279.16,2023,7,66+
O000119,2024-10-28,P00284,7,349.02,C00556,East,Remember,Beauty,Bennett LLC,Shawn Wright,33,Male,Morganport,2443.14,2024,10,36-45
O000120,2025-05-04,P00308,6,336.93,C00015,South,Two,Toys,Rodriguez-Hoffman,Jason Brown,37,Other,East Jessica,2021.58,2025,5,46-55
O000121,2024-05-26,P00381,3,286.5,C01243,North,Company,Books,"Estrada, Armstrong and Robinson",Kathleen Walton,23,Female,Baileyfurt,859.5,2024,5,26-35
O000122,2025-03-18,P00427,7,209.48,C01077,North,Test,Home,Taylor LLC,Mason Herrera,52,Female,Port Hollymouth,1466.36,2025,3,56-65
O000123,2024-10-24,P00487,3,89.92,C00841,West,Science,Clothing,"Sanchez, Fischer and Carter",Charles Conley,57,Male,Rodriguezport,269.76,2024,10,66+
O000124,2023-09-03,P00207,6,415.7,C00545,East,Stay,Books,Petersen-Olson,Jackie Phillips,32,Other,East William,2494.2,2023,9,36-45
O000125,2025-03-24,P00304,8,14.61,C01686,West,Responsibility,Toys,Martinez-Wilson,Emily Peterson,65,Female,North Ana,116.88,2025,3,
O000126,2024-04-03,P00338,2,156.58,C00934,East,Her,Electronics,Sandoval Inc,Michael Jordan,55,Male,Scottshire,313.16,2024,4,66+
O000127,2024-08-18,P00253,2,11.48,C00321,East,Blood,Clothing,Johnson and Sons,Andrea Smith,36,Male,Lake Kenneth,22.96,2024,8,46-55
O000128,2023-05-14,P00376,7,166.71,C01995,East,Kid,Home,Frank Ltd,Shelby Blair,26,Other,Scottshire,1166.97,2023,5,36-45
O000129,2024-02-11,P00170,1,92.52,C00685,North,That,Toys,Scott-Johnson,Emily Ramirez,36,Other,Port Raymond,92.52,2024,2,46-55
O000130,2023-09-22,P00237,4,277.23,C01455,South,Age,Clothing,Morgan PLC,Eric Nichols,35,Female,Derrickfurt,1108.92,2023,9,46-55
O000131,2024-08-06,P00388,5,220.33,C00324,West,News,Toys,Jenkins-Carr,Patrick Morris,64,Male,East David,1101.65,2024,8,66+
O000132,2024-05-14,P00497,6,392.08,C00404,West,Hotel,Electronics,"Phillips, Sweeney and Mullen",Nancy Cruz,27,Female,South Stephanieburgh,2352.48,2024,5,36-45
O000133,2024-01-22,P00118,6,67.44,C00511,North,Player,Home,Jordan-Butler,Jessica Smith,45,Other,Fischerview,404.64,2024,1,56-65
O000134,2023-05-14,P00410,8,249.87,C00681,South,Official,Clothing,"Henderson, Boyd and Shelton",James Williams,69,Other,Port James,1998.96,2023,5,
O000135,2023-05-09,P00217,8,441.35,C01601,North,Would,Books,Petersen-Olson,Krystal Miles,31,Female,East Shane,3530.8,2023,5,36-45
O000136,2023-12-01,P00365,5,432.87,C01960,East,See,Electronics,Thomas PLC,James Alexander,56,Other,Janetland,2164.35,2023,12,66+
O000137,2023-10-19,P00480,1,231.19,C00680,South,Writer,Clothing,Wells-Randall,Meghan Richardson,31,Other,New Elizabeth,231.19,2023,10,36-45
O000138,2024-06-20,P00216,6,445.35,C01641,West,Where,Home,"Williams, Gould and Lewis",Michael Wilkerson,51,Male,Lindabury,2672.1000000000004,2024,6,56-65
O000139,2024-07-28,P00336,8,496.12,C01049,West,Field,Books,"Barry, Clark and Harris",Luis Hansen,35,Other,West Nicoleton,3968.96,2024,7,46-55
O000140,2024-07-06,P00022,8,46.84,C01521,West,Chair,Electronics,Bennett LLC,Regina Green,29,Female,East Karen,374.72,2024,7,36-45
O000141,2024-12-13,P00061,4,73.8,C01487,North,Assume,Home,Roberts PLC,Cindy Clark,68,Female,Carpenterfort,295.2,2024,12,
O000142,2023-09-23,P00030,4,309.97,C00715,North,Where,Home,Giles-Rubio,William Castro,56,Other,North Mark,1239.88,2023,9,66+
O000143,2024-11-13,P00023,1,348.97,C00535,West,Father,Clothing,Holden LLC,Dr. Jessica Reynolds,25,Female,Lambfort,348.97,2024,11,36-45
O000144,2024-03-08,P00025,9,148.28,C00349,East,Someone,Books,"Henderson, Boyd and Shelton",Dr. Michael Lutz,69,Female,South Jeffrey,1334.52,2024,3,
O000145,2024-08-22,P00068,1,161.76,C00095,North,Serve,Books,"Henderson, Boyd and Shelton",Michael Sullivan,27,Male,Moranfurt,161.76,2024,8,36-45
O000146,2024-05-11,P00138,4,264.51,C00769,East,Ever,Electronics,Hinton LLC,Carolyn James,46,Female,Smithview,1058.04,2024,5,56-65
O000147,2024-07-19,P00039,8,121.42,C01576,West,Show,Clothing,"Smith, Miller and Jones",Gina Schmitt,40,Male,Port Davidfurt,971.36,2024,7,46-55
O000148,2025-02-26,P00321,8,492.25,C01263,East,Actually,Home,Holden LLC,Claudia Wilson,47,Male,Zacharyfurt,3938.0,2025,2,56-65
O000149,2024-05-24,P00336,9,145.21,C00211,West,Field,Books,"Barry, Clark and Harris",Whitney Steele,65,Other,Sarahtown,1306.89,2024,5,
O000150,2023-10-13,P00493,6,414.95,C00590,East,Weight,Toys,Rodriguez-Hoffman,Miranda Gross,28,Female,North Chadview,2489.7,2023,10,36-45
O000151,2023-10-29,P00490,5,89.73,C01103,East,Miss,Home,"Waters, Reynolds and Howard",Kathy Avila DDS,49,Other,Sophiaside,448.65000000000003,2023,10,56-65
O000152,2024-02-18,P00143,1,461.49,C01422,North,Sometimes,Electronics,Giles-Rubio,David Ellis,29,Female,Christophermouth,461.49,2024,2,36-45
O000153,2024-05-18,P00070,9,259.21,C01716,East,Inside,Books,"Smith, Miller and Jones",Victoria Sanchez PhD,45,Other,Jacobborough,2332.89,2024,5,56-65
O000154,2025-04-22,P00082,4,458.75,C01967,East,Either,Books,Petersen-Olson,David Rodriguez,54,Female,Kellyport,1835.0,2025,4,56-65
O000155,2024-08-09,P00187,7,224.93,C00560,North,People,Electronics,Williams and Sons,Brittany Sullivan,53,Male,Wallaceview,1574.51,2024,8,56-65
O000156,2024-02-14,P00362,5,292.97,C00103,West,Public,Books,"Johnson, Bailey and Smith",Briana Jones,39,Female,Amandaville,1464.8500000000001,2024,2,46-55
O000157,2025-04-14,P00068,6,346.41,C00699,South,Serve,Books,"Henderson, Boyd and Shelton",Ryan Brown,45,Female,West Sarah,2078.46,2025,4,56-65
O000158,2024-07-06,P00241,7,429.05,C00569,North,Candidate,Toys,Hinton LLC,Collin Wilson,37,Male,Jacobborough,3003.35,2024,7,46-55
O000159,2024-04-07,P00212,3,474.72,C01761,West,Answer,Electronics,Petersen-Olson,Corey Gonzalez,56,Other,New Williamstad,1424.16,2024,4,66+
O000160,2024-06-16,P00083,3,133.82,C01108,East,Show,Beauty,Jordan-Butler,Michelle Snow,51,Other,Port Hollymouth,401.46,2024,6,56-65
O000161,2023-12-24,P00364,9,389.79,C01804,South,Human,Books,Giles-Rubio,Brian Ponce,26,Female,East Sonya,3508.11,2023,12,36-45
O000162,2025-04-18,P00178,3,394.5,C00135,West,School,Clothing,Rodriguez-Hoffman,James Smith,51,Male,Rowefurt,1183.5,2025,4,56-65
O000163,2024-04-11,P00114,2,222.78,C01612,East,Win,Electronics,"Murphy, Watkins and Miller",Jessica Zamora,54,Male,Sophiaside,445.56,2024,4,56-65
O000164,2023-11-20,P00386,2,256.92,C00660,East,Coach,Home,Sandoval Inc,Ana Moon,25,Other,Brandiberg,513.84,2023,11,36-45
O000165,2023-12-15,P00136,6,169.89,C00669,North,Position,Home,"Hall, Thomas and Gibson",Joseph Rice,37,Other,East Cheryl,1019.3399999999999,2023,12,46-55
O000166,2024-05-23,P00009,2,81.08,C00389,North,Mention,Toys,Wilson-Cross,Rebecca Doyle,54,Female,Lake Crystalstad,162.16,2024,5,56-65
O000167,2024-08-19,P00032,2,385.13,C01337,East,Season,Electronics,"Shaw, Berry and Gregory",Corey Ray,22,Other,Kellyport,770.26,2024,8,26-35
O000168,2023-07-20,P00125,4,45.26,C01501,North,Success,Books,"Phillips, Sweeney and Mullen",Amanda Stafford,49,Other,Port Patrick,181.04,2023,7,56-65
O000169,2024-12-02,P00271,3,363.6,C00680,South,Include,Toys,Scott-Johnson,Meghan Richardson,31,Other,New Elizabeth,1090.8000000000002,2024,12,36-45
O000170,2024-11-02,P00207,8,466.33,C00555,West,Stay,Books,Petersen-Olson,Angela Hunter,37,Female,Danahaven,3730.64,2024,11,46-55
O000171,2023-06-14,P00405,2,341.23,C01674,South,Test,Clothing,Ward-Wilcox,Jasmin Castro,43,Other,Petersonhaven,682.46,2023,6,46-55
O000172,2023-05-12,P00147,1,275.37,C01169,East,Wind,Books,Brown-Johnson,Rebecca Ramirez,40,Male,Paulview,275.37,2023,5,46-55
O000173,2024-12-13,P00240,5,21.56,C01261,East,Serious,Beauty,"Phillips, Sweeney and Mullen",Michael Brown,18,Male,Philipberg,107.8,2024,12,26-35
O000174,2023-12-03,P00164,2,419.76,C00596,West,Eat,Home,Martinez-Wilson,Nancy Day,68,Male,Derrickfurt,839.52,2023,12,
O000175,2024-03-06,P00301,8,388.89,C00927,North,Continue,Toys,"Bennett, Villegas and Fowler",Robert Adams,63,Female,Veronicaborough,3111.12,2024,3,66+
